n,time
1,0.000000
1001,0.008197
2001,0.018425
3001,0.045809
4001,0.073435
5001,0.115016
6001,0.165273
7001,0.225074
8001,0.293599
9001,0.371546
10001,0.457229
11001,0.552545
12001,0.662952
13001,0.777552
14001,0.904031
15001,1.029972
16001,1.178274
17001,1.329047
18001,1.300305
19001,1.654757
20001,1.838910
21001,2.026860
22001,2.194055
23001,2.371660
24001,2.563377
25001,2.857274
26001,2.962218
27001,3.175633
28001,3.385061
29001,3.616214
30001,3.850826
31001,4.098695
32001,4.340304
33001,4.621007
34001,4.878391
35001,5.157678
36001,5.427596
37001,5.723328
38001,6.028618
39001,6.329249
40001,6.644939
41001,6.972930
42001,7.316869
43001,7.660672
44001,7.989171
45001,8.364687
46001,8.718846
47001,9.096938
48001,9.465233
49001,9.864706
50001,10.269447
51001,10.670874
52001,11.065756
53001,11.462933
54001,11.920683
55001,12.357218
56001,12.793906
57001,13.248671
58001,13.694795
59001,14.192232
60001,14.669921
61001,15.409379
62001,15.644805
63001,16.112683
64001,16.637034
65001,17.171136
66001,17.694936
67001,18.465172
68001,18.711074
69001,19.382611
70001,19.832235
71001,20.441194
72001,20.994666
